account_id,account_name,industry,country,signup_date,referral_source,plan_tier_sub,billing_frequency,auto_renew_flag,mrr_amount,arr_amount,upgrade_flag,downgrade_flag,churn_date,reason_code,refund_amount_usd
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,monthly,1,209,2508,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,monthly,1,209,2508,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,monthly,1,980,11760,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,monthly,1,980,11760,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,monthly,1,441,5292,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,monthly,1,441,5292,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Enterprise,annual,0,1791,21492,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Enterprise,annual,0,1791,21492,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,monthly,1,1938,23256,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,monthly,1,1938,23256,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,annual,1,0,0,1,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,annual,1,0,0,1,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,annual,0,637,7644,0,0,2024-11-23,budget,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Pro,annual,0,637,7644,0,0,2024-12-05,competitor,0.0
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,monthly,1,836,10032,0,0,2024-11-23,budget,0.0
